level	item_id	field	problem	value
ERROR	P2004-0015	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc
ERROR	P2004-0015	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc
ERROR	P2004-0096	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Search_Record.doc
ERROR	P2004-0096	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Search_Record.doc
ERROR	P2004-0097	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Interrogation_Records.doc
ERROR	P2004-0097	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Interrogation_Records.doc
ERROR	P2004-0098	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Confrontation_Records.doc
ERROR	P2004-0098	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Confrontation_Records.doc
ERROR	P2004-0099	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Yagoda/Prosecutors_Interrogation_Record.doc
ERROR	P2004-0099	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/Yagoda/Prosecutors_Interrogation_Record.doc
ERROR	P2004-0100	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Yagoda/Kirshon_s_Report_on_Yagoda_s_Behavior_in_Prison.doc
ERROR	P2004-0100	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/Yagoda/Kirshon_s_Report_on_Yagoda_s_Behavior_in_Prison.doc
ERROR	P2004-0101	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Yagoda/Shothand_Record_of_Closed_Session.doc
ERROR	P2004-0101	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/Yagoda/Shothand_Record_of_Closed_Session.doc
ERROR	P2004-0102	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/picb_621.gif
ERROR	P2004-0102	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/picb_621.gif
ERROR	P2004-0103	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Khanik_Documents_Records.doc
ERROR	P2004-0103	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Khanik_Documents_Records.doc
ERROR	P2004-0104	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_Interrogation_Record.doc
ERROR	P2004-0104	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_Interrogation_Record.doc
ERROR	P2004-0105	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_s_Statement_re_Indictment.doc
ERROR	P2004-0105	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_s_Statement_re_Indictment.doc
ERROR	P2004-0107	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Professor_Dembo_s_Letter.doc
ERROR	P2004-0107	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Professor_Dembo_s_Letter.doc
ERROR	P2004-0108	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Salkov_Statement.doc
ERROR	P2004-0108	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Salkov_Statement.doc
ERROR	P2004-0109	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Kotolynov_et_al.doc
ERROR	P2004-0109	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Kotolynov_et_al.doc
ERROR	P2004-0110	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Khanik.doc
ERROR	P2004-0110	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Trial_Record_Khanik.doc
ERROR	P2004-0111	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Special_Reports_to_Yagoda.doc
ERROR	P2004-0111	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Special_Reports_to_Yagoda.doc
ERROR	P2004-0112	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/kirov/Volkova_s_Letter_Verification.doc
ERROR	P2004-0112	source_class	source_class_mismatch_expected_internal	http://perpetrator2004.narod.ru/documents/kirov/Volkova_s_Letter_Verification.doc
WARN	P2004-0113	label	blank_label	
